📄 AddBos: 255
📄 BosId: 128000 (<｜begin▁of▁sentence｜>)
📄 EosId: 128001 (<｜end▁of▁sentence｜>) 128001 (<｜end▁of▁sentence｜>) 
📄 RegularVocabSize: 128000
📄 SpecialVocabSize: 256
💡 Arch: Llama
💡 HiddenAct: Silu
💡 Dim: 4096
💡 HeadDim: 128
💡 QDim: 4096
💡 KvDim: 1024
💡 HiddenDim: 14336
💡 VocabSize: 128256
💡 nLayers: 32
💡 nHeads: 32
💡 nKvHeads: 8
💡 OrigSeqLen: 131072
💡 SeqLen: 4096
💡 NormEpsilon: 0.000010
💡 RopeType: Llama3.1
💡 RopeTheta: 500000
💡 RopeScaling: f=8.0, l=1.0, h=4.0, o=8192
📀 RequiredMemory: 3312 MB
⭕ Socket[0]: connecting to 192.168.1.77:9998 worker
⭕ Socket[0]: connected
⭕ Socket[1]: connecting to 192.168.1.75:9998 worker
⭕ Socket[1]: connected
⭕ Socket[2]: connecting to 192.168.1.76:9998 worker
⭕ Socket[2]: connected
⭕ Network is initialized
🧠 CPU: neon fp16
💿 Loading weights...
💿 Loaded 12/32
💿 Loaded 13/32
💿 Loaded 14/32
💿 Loaded 15/32
💿 Loaded 16/32
💿 Loaded 17/32
💿 Loaded 18/32
💿 Loaded 19/32
💿 Loaded 20/32
💿 Loaded 21/32
💿 Loaded 22/32
💿 Loaded 23/32
💿 Loaded 24/32
💿 Loaded 25/32
💿 Loaded 26/32
💿 Loaded 27/32
💿 Loaded 28/32
💿 Loaded 29/32
💿 Loaded 30/32
💿 Loaded 31/32
💿 Loaded 32/32
💿 Weights loaded
🚁 Network is in non-blocking mode
Explain in exhaustive detail, step by step, how distributed tensor-parallel inference of a transformer works on a CPU cluster: weight sharding, all-reduce synchronisation, the KV-cache, and the memory-bandwidth limit on commodity hardware. Include worked numerical examples and keep elaborating at length.
🔷️ Eval 2972 ms Sync  484 ms | Sent 27648 kB Recv 38136 kB | (32 tokens)
🔷️ Eval 2594 ms Sync  456 ms | Sent 24192 kB Recv 33369 kB | (28 tokens)
🔶 Pred  122 ms Sync   22 ms | Sent   864 kB Recv  1191 kB |  


🔶 Pred  131 ms Sync   23 ms | Sent   864 kB Recv  1191 kB | Okay
🔶 Pred  128 ms Sync   27 ms | Sent   864 kB Recv  1191 kB | ,
🔶 Pred   92 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  so
🔶 Pred  135 ms Sync   23 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred  120 ms Sync   35 ms | Sent   864 kB Recv  1191 kB | 'm
🔶 Pred  132 ms Sync   34 ms | Sent   864 kB Recv  1191 kB |  trying
🔶 Pred   92 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  to
🔶 Pred  136 ms Sync   24 ms | Sent   864 kB Recv  1191 kB |  understand
🔶 Pred  133 ms Sync   24 ms | Sent   864 kB Recv  1191 kB |  how
🔶 Pred  199 ms Sync   77 ms | Sent   864 kB Recv  1191 kB |  distributed
🔶 Pred  142 ms Sync   24 ms | Sent   864 kB Recv  1191 kB |  tensor
🔶 Pred  102 ms Sync   54 ms | Sent   864 kB Recv  1191 kB | -
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | parallel
🔶 Pred   93 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  inference
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  of
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  transformer
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  works
🔶 Pred   91 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  on
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred   91 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  CPU
🔶 Pred   93 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  cluster
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | .
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred   92 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  know
🔶 Pred   93 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  transformers
🔶 Pred   91 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  are
🔶 Pred   92 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  used
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  in
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  N
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | LP
🔶 Pred  191 ms Sync   14 ms | Sent   864 kB Recv  1191 kB |  tasks
🔶 Pred  145 ms Sync   42 ms | Sent   864 kB Recv  1191 kB | ,
🔶 Pred  159 ms Sync   57 ms | Sent   864 kB Recv  1191 kB |  and
🔶 Pred  133 ms Sync   29 ms | Sent   864 kB Recv  1191 kB |  tensor
🔶 Pred  115 ms Sync   33 ms | Sent   864 kB Recv  1191 kB | -
🔶 Pred  135 ms Sync   24 ms | Sent   864 kB Recv  1191 kB | parallel
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | ism
🔶 Pred   92 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  is
🔶 Pred   92 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  a
