📄 AddBos: 255
📄 BosId: 128000 (<｜begin▁of▁sentence｜>)
📄 EosId: 128001 (<｜end▁of▁sentence｜>) 128001 (<｜end▁of▁sentence｜>) 
📄 RegularVocabSize: 128000
📄 SpecialVocabSize: 256
💡 Arch: Llama
💡 HiddenAct: Silu
💡 Dim: 4096
💡 HeadDim: 128
💡 QDim: 4096
💡 KvDim: 1024
💡 HiddenDim: 14336
💡 VocabSize: 128256
💡 nLayers: 32
💡 nHeads: 32
💡 nKvHeads: 8
💡 OrigSeqLen: 131072
💡 SeqLen: 4096
💡 NormEpsilon: 0.000010
💡 RopeType: Llama3.1
💡 RopeTheta: 500000
💡 RopeScaling: f=8.0, l=1.0, h=4.0, o=8192
📀 RequiredMemory: 3312 MB
⭕ Socket[0]: connecting to 192.168.1.77:9998 worker
⭕ Socket[0]: connected
⭕ Socket[1]: connecting to 192.168.1.75:9998 worker
⭕ Socket[1]: connected
⭕ Socket[2]: connecting to 192.168.1.76:9998 worker
⭕ Socket[2]: connected
⭕ Network is initialized
🧠 CPU: neon fp16
💿 Loading weights...
💿 Loaded 12/32
💿 Loaded 13/32
💿 Loaded 14/32
💿 Loaded 15/32
💿 Loaded 16/32
💿 Loaded 17/32
💿 Loaded 18/32
💿 Loaded 19/32
💿 Loaded 20/32
💿 Loaded 21/32
💿 Loaded 22/32
💿 Loaded 23/32
💿 Loaded 24/32
💿 Loaded 25/32
💿 Loaded 26/32
💿 Loaded 27/32
💿 Loaded 28/32
💿 Loaded 29/32
💿 Loaded 30/32
💿 Loaded 31/32
💿 Loaded 32/32
💿 Weights loaded
🚁 Network is in non-blocking mode
Explain in exhaustive detail, step by step, how distributed tensor-parallel inference of a transformer works on a CPU cluster: weight sharding, all-reduce synchronisation, the KV-cache, and the memory-bandwidth limit on commodity hardware. Include worked numerical examples and keep elaborating at length.
🔷️ Eval 5344 ms Sync  464 ms | Sent 27648 kB Recv 38136 kB | (32 tokens)
🔷️ Eval 4673 ms Sync  408 ms | Sent 24192 kB Recv 33369 kB | (28 tokens)
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  


🔶 Pred  175 ms Sync   18 ms | Sent   864 kB Recv  1191 kB | Okay
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB | ,
🔶 Pred  171 ms Sync   18 ms | Sent   864 kB Recv  1191 kB |  so
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB | 'm
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  trying
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  to
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  understand
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  how
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  distributed
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  tensor
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | -
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB | parallel
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  inference
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  of
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred  180 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  transformer
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  works
🔶 Pred  171 ms Sync   19 ms | Sent   864 kB Recv  1191 kB |  on
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  CPU
🔶 Pred  173 ms Sync   13 ms | Sent   864 kB Recv  1191 kB |  cluster
🔶 Pred  170 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | .
🔶 Pred  171 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  know
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  transformers
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  are
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  used
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  in
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  N
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | LP
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  tasks
🔶 Pred  174 ms Sync   19 ms | Sent   864 kB Recv  1191 kB | ,
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  and
🔶 Pred  171 ms Sync   18 ms | Sent   864 kB Recv  1191 kB |  tensor
🔶 Pred  168 ms Sync   17 ms | Sent   864 kB Recv  1191 kB | -
🔶 Pred  168 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | parallel
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB | ism
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  is
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  way
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  to
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  speed
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  them
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  up
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  by
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  splitting
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  the
🔶 Pred  187 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  model
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  across
🔶 Pred  172 ms Sync   19 ms | Sent   864 kB Recv  1191 kB |  multiple
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  GPUs
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB | .
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  But
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  now
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | ,
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  the
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  question
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  is
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  about
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  doing
🔶 Pred  169 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  this
🔶 Pred  169 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  on
